SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,exchange,timestamp
500002,ABB LTD.    ,A ,Q,1558,1558,1481.5,1504.7,1499,1560.6,962,9011,13758212,NA,bse,2017-05-18
500003,AEGIS LOGIS ,B ,Q,190.2,191.5,187.15,189.4,189.4,192.45,519,37324,7075464,NA,bse,2017-05-18
500008,AMAR RAJA BA,A ,Q,934.95,934.95,910.1,912.6,912.6,937.65,921,17727,16320952,NA,bse,2017-05-18
500009,A.SARABHAI  ,XT,Q,10.5,10.7,10.16,10.18,10.16,10.69,110,48323,497407,NA,bse,2017-05-18
500010,HDFC        ,A ,Q,1549,1559.1,1530.1,1539.2,1545,1552.65,1428,88700,136880144,NA,bse,2017-05-18
500012,ANDHRA PETRO,XC,Q,27.7,28.75,27.1,28.05,28.05,27.1,242,69337,1948208,NA,bse,2017-05-18
500013,ANSAL INFRAS,B ,Q,29.9,29.9,27.3,27.65,27.3,30.3,736,229421,6566945,NA,bse,2017-05-18
500014,APPLE FINANC,XT,Q,4.42,4.42,4.05,4.15,4.15,4.22,30,16631,69807,NA,bse,2017-05-18
500020,BOM DYEING  ,B ,Q,81.4,81.8,78.65,78.95,78.95,82.35,1500,317845,25493683,NA,bse,2017-05-18
500023,ASIANHOTNR  ,B ,Q,145.5,152.9,145.05,146.45,146.2,147.3,16,1639,242783,NA,bse,2017-05-18
500024,ASSAMCO     ,B ,Q,6.75,6.82,6.6,6.63,6.63,6.85,230,228782,1528345,NA,bse,2017-05-18
500027,ATUL LTD.   ,A ,Q,2540,2565,2505.75,2518.2,2520,2564.9,135,1003,2546743,NA,bse,2017-05-18
500028,ATV PROJECTS,XT,Q,6.85,7.15,6.85,6.96,6.96,7.18,11,2734,18921,NA,bse,2017-05-18
500029,AUTOLITE(I) ,B ,Q,56.5,57,56.5,57,57,57.35,2,225,12725,NA,bse,2017-05-18
500031,BAJAJ ELECT.,A ,Q,350,350,331.95,333.75,333.75,349.75,649,25279,8558322,NA,bse,2017-05-18
500032,BAJAJHIND   ,B ,Q,16.2,16.5,15.75,15.85,15.85,16.5,600,701076,11273331,NA,bse,2017-05-18
500033,FORCE MOTR  ,B ,Q,4477.8,4480,4422,4449.8,4449.8,4489.55,2862,29937,133373191,NA,bse,2017-05-18
500034,BAJFINANCE  ,A ,Q,1299.9,1342.5,1295,1312.45,1312.45,1322.8,3130,201187,268177144,NA,bse,2017-05-18
500038,BALRAM.CHINI,A ,Q,166.75,167.3,160.45,161.15,161.85,166.2,837,126271,20726917,NA,bse,2017-05-18
500039,BANCO PROD. ,B ,Q,233,239,232.25,233.05,233.05,238.5,1282,65742,15477739,NA,bse,2017-05-18
500040,CENTURY TEXT,A ,Q,1185,1188.55,1142.55,1148.75,1148.75,1195.1,1925,72733,84963400,NA,bse,2017-05-18
500041,BANNARI AMAN,B ,Q,1988.95,1988.95,1903,1932.75,1929,1965.7,16,72,141006,NA,bse,2017-05-18
500042,BASF INDIA  ,B ,Q,1334,1367.45,1334,1362.95,1362.95,1364.4,141,794,1081353,NA,bse,2017-05-18
500043,BATA INDIA  ,A ,Q,555,557,547.05,552,552,559.5,1108,26687,14720921,NA,bse,2017-05-18
500048,BEML LTD    ,A ,Q,1380,1382.4,1337.25,1343.8,1340.2,1391.65,541,9369,12720178,NA,bse,2017-05-18
500049,BHARAT ELECT,A ,Q,177.75,179.4,174.4,174.75,174.75,180,3023,1365139,239177882,NA,bse,2017-05-18
500052,BHANSALI ENG,B ,Q,40.95,41.4,39.6,39.8,39.9,41.85,1611,491674,19890565,NA,bse,2017-05-18
500055,BHUSH STEEL ,B ,Q,98,102.8,95.8,98.25,98.25,99.55,3965,604356,59993462,NA,bse,2017-05-18
500058,BIHAR SPONGE,XT,Q,2,2.16,2,2.09,2.16,2.1,10,1803,3699,NA,bse,2017-05-18
500059,BINANI IND. ,B ,Q,84,85.35,81.75,82.2,81.8,85.05,145,14961,1241489,NA,bse,2017-05-18
500060,BIRLACABLE  ,B ,Q,44.5,44.85,43.7,43.85,43.85,45,45,7016,310427,NA,bse,2017-05-18
500067,BLUE STAR   ,B ,Q,670,670,640.5,648.4,648.4,671.8,250,5770,3754384,NA,bse,2017-05-18
500068,DISA INDIA  ,XC,Q,5150,5150,5e3,5e3,5e3,5076.1,5,13,66600,NA,bse,2017-05-18
