SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,exchange
20MICRONS,EQ,39.85,40.8,38.8,39.75,40,39.15,122248,4874045.85,04-SEP-2017,777,INE144J01027,nse
3IINFOTECH,EQ,4.15,4.15,3.95,4,4,4.1,1552609,6249675.65,04-SEP-2017,439,INE748C01020,nse
3MINDIA,EQ,14779.95,14780,14500.05,14634.8,14650,14689.75,836,12244023.75,04-SEP-2017,256,INE470A01017,nse
63MOONS,EQ,62.75,63,61.5,62.45,62.35,62.75,74363,4637111.1,04-SEP-2017,674,INE111B01023,nse
8KMILES,EQ,500,507.05,492.05,495.3,498,496.35,57430,28574539.65,04-SEP-2017,1478,INE650K01021,nse
A2ZINFRA,EQ,37.2,39.1,37,37.6,37.25,37.15,1125905,42620508.55,04-SEP-2017,5112,INE619I01012,nse
AARTIDRUGS,EQ,511,523.9,511,520.1,523,512.7,7394,3826329.95,04-SEP-2017,292,INE767A01016,nse
AARTIIND,EQ,885,892,845,854.15,851.05,883.5,29766,25776886.75,04-SEP-2017,2931,INE769A01020,nse
AARVEEDEN,EQ,45.25,45.25,43.6,45.25,45.25,41.15,1994758,89821265.7,04-SEP-2017,3767,INE273D01019,nse
ABAN,EQ,178.7,182.6,177.2,178.4,178.1,178.85,1324463,238147467.5,04-SEP-2017,14500,INE421A01028,nse
ABB,EQ,1333,1344.2,1298.8,1318.2,1316,1333.2,80703,106223745.35,04-SEP-2017,3308,INE117A01022,nse
ABBOTINDIA,EQ,4175,4270,4170,4242.35,4250,4177.5,4201,17720698.7,04-SEP-2017,738,INE358A01014,nse
ABCAPITAL,BE,225.65,225.65,225.65,225.65,225.65,237.5,309923,69934124.95,04-SEP-2017,3050,INE674K01013,nse
ABFRL,EQ,171.1,172.9,169.7,171.25,171,171.3,404648,69165843.85,04-SEP-2017,2690,INE647O01011,nse
ABGSHIP,BZ,11.1,11.1,10.5,10.7,10.55,10.6,18298,196628.3,04-SEP-2017,78,INE067H01016,nse
ABMINTLTD,BE,62.15,63,62.1,62.1,62.1,65.35,473,29441.2,04-SEP-2017,12,INE251C01017,nse
ACC,EQ,1823.7,1823.7,1765.4,1771.1,1772.4,1818.05,470091,839316885.85,04-SEP-2017,21770,INE012A01025,nse
ACCELYA,EQ,1419.75,1419.75,1405,1410.05,1411,1413.75,4356,6142794.75,04-SEP-2017,146,INE793A01012,nse
ACCORD,SM,56.95,61.5,56.05,56.05,56.05,54,18000,1052900,04-SEP-2017,9,INE113X01015,nse
