symbol,market_cap,RNW5,RNW4,RNW3,RNW2,RNW1,blank1,SR5,SR4,SR3,SR2,SR1,blank2,NP5,NP4,NP3,NP2,NP1,isStandalone,isin,exchange
GPL,86.39,0.01,1.12,--,--,--,  ,0.09,15.87,16.92,--,--,  ,0.00,0.12,0.06,0.02,0.00,TRUE,539235,bse
AMSONS,13.25,0.13,0.80,0.47,0.87,NA,  ,5.02,6.51,8.50,3.21,2.10,  ,0.03,0.13,0.06,0.04,0.02,TRUE,538861,bse
TCIFINANCE,43.32,8.09,4.68,17.30,17.38,2.40,  ,11.27,10.00,9.36,3.94,8.24,  ,3.64,1.94,6.82,5.67,0.65,FALSE,INE911B01018,nse
IMPAL,1139.66,10.73,104.98,NA,NA,NA,  ,518.90,500.61,NA,NA,NA,  ,27.39,26.73,NA,NA,NA,FALSE,INE547E01014,nse
S.I.PAPER,236.55,9.20,18.95,12.48,3.89,13.84,  ,195.27,206.62,185.38,143.43,168.30,  ,12.61,24.09,13.53,3.89,13.65,TRUE,516108,bse
EMAMIINFRA,917.63,48.39,-29.60,26.95,22.68,-14.42,  ,--,241.28,27.29,0.00,17.68,  ,13.43,-4.24,12.27,7.55,-3.71,FALSE,INE778K01012,nse
RNAVAL,4219.02,-39.89,-29.19,-20.51,0.11,1.51,  ,563.34,312.17,904.53,"2,521.89","2,509.02",  ,-577.22,-592.42,-398.55,2.72,31.09,FALSE,533107,bse
SATIN,2061.27,3.90,NA,NA,NA,NA,  ,781.60,NA,NA,NA,NA,  ,24.87,NA,NA,NA,NA,FALSE,539404,bse
LYKA LABS,210.63,-14.31,9.87,-15.29,-16.50,-1.26,  ,116.58,157.05,93.20,120.35,147.33,  ,-4.68,-4.95,2.61,0.17,4.63,FALSE,500259,bse
I.C.S.A. IND,26.38,-26.44,12.32,18.03,28.33,32.91,  ,914.76,"1,403.88","1,237.45","1,122.24",NA,  ,-178.10,125.43,121.51,151.21,NA,FALSE,531524,bse
NITESH EST,299.68,-104.65,-30.70,0.72,1.60,-44.26,  ,193.13,253.51,287.60,297.57,82.87,  ,-102.89,-72.73,2.36,5.26,-142.06,FALSE,533202,bse
ROLTA (I),1273.55,6.45,12.84,19.54,24.23,-95.15,  ,"3,179.88","3,799.59","3,679.46","2,178.78","1,828.79",  ,166.74,189.11,245.17,-839.20,242.34,FALSE,500366,bse
SDBL,542.19,10.27,NA,NA,NA,NA,  ,244.72,NA,NA,NA,NA,  ,13.83,NA,NA,NA,NA,FALSE,INE480C01012,nse
ALKYL AMINES,1487.92,19.97,24.02,24.61,29.02,20.99,  ,500.64,472.61,467.98,440.29,358.97,  ,51.00,50.04,45.13,43.27,24.21,FALSE,506767,bse
JSWSL,68431.51,15.55,-3.68,7.93,2.00,5.48,  ,"54,628.21","40,857.54","52,050.57","50,408.87","38,094.96",  ,"3,467.24",-480.63,"1,796.57",451.95,963.11,FALSE,500228,bse
JMG CORP LTD,2.71,1.92,2.84,--,33.70,2.90,  ,0.45,1.03,0.20,0.13,0.52,  ,0.17,0.25,-0.39,3.04,0.17,TRUE,523712,bse
WINDMACHIN,788.6,17.96,6.24,-4.20,33.47,NA,  ,335.48,299.33,251.85,247.96,NA,  ,11.54,3.27,-2.12,16.93,NA,FALSE,INE052A01021,nse
MENON PISTON,193.8,10.24,7.04,9.66,3.25,8.27,  ,132.63,130.41,144.35,142.01,152.72,  ,6.95,4.29,5.72,1.82,4.57,TRUE,531727,bse
ASAHI IN.GLA,9358.96,28.49,24.55,14.94,-19.38,-243.68,  ,"2,372.99","2,207.37","2,096.58","2,138.14","1,942.64",  ,131.33,86.95,42.02,-46.78,-97.50,FALSE,515030,bse
SHAH ALLOYS,39.89,-12.99,-31.83,19.65,NA,NA,  ,311.38,261.00,NA,NA,NA,  ,35.76,120.93,NA,NA,NA,FALSE,513436,bse
HUIL,NA,NA,NA,NA,NA,NA,  ,NA,NA,NA,NA,NA,  ,NA,NA,NA,NA,NA,NA,539984,bse
PERSISTENT,5934,15.87,18.13,20.67,20.39,18.42,  ,"2,878.44","2,312.33","1,891.25","1,669.15","1,294.51",  ,301.47,297.36,290.63,249.28,187.62,FALSE,533179,bse
GREENPLY IND,4672.1,16.23,21.09,25.54,20.14,25.24,  ,"1,659.52","1,655.71","1,560.58","2,215.11","2,044.06",  ,125.44,127.69,124.23,117.57,119.66,FALSE,526797,bse
ARAMBHAN,29.25,-49.90,8.52,NA,NA,NA,  ,23.71,68.26,NA,NA,NA,  ,-4.29,1.10,NA,NA,NA,FALSE,539403,bse
IPRU2168,429.91,-1.67,0.23,-1.19,-6.67,-9.47,  ,173.59,118.17,101.29,84.74,84.84,  ,-1.45,0.09,-0.49,-2.76,-4.18,TRUE,536618,bse
