symbol,market_cap,RNW5,RNW4,RNW3,RNW2,RNW1,blank1,SR5,SR4,SR3,SR2,SR1,blank2,NP5,NP4,NP3,NP2,NP1,isStandalone,isin,exchange,date,filter
7NR,19.2,NA,NA,NA,NA,NA,  ,NA,NA,NA,NA,NA,  ,NA,NA,NA,NA,NA,TRUE,540615,bse,2018-01-10,vol200p_quarter
AARTIDRUGS,1816.72,19.61,19.22,25.07,19.27,12.83,  ,"1,195.17","1,134.88","1,094.27",659.25,501.05,  ,80.56,68.72,77.25,21.69,23.76,FALSE,INE767A01016,nse,2018-01-10,vol200p_quarter
ABAN,1462.05,-39.49,0.88,9.57,9.48,5.54,  ,"1,757.92","3,334.55","4,040.84","3,936.26","3,672.70",  ,"-1,040.83",51.27,544.94,393.07,193.87,FALSE,INE421A01028,nse,2018-01-10,vol200p_month
ACKNIT IND,45.01,9.76,10.21,11.09,9.99,6.75,  ,148.08,148.77,138.48,123.93,89.36,  ,3.19,3.03,3.01,2.46,1.53,TRUE,530043,bse,2018-01-10,vol200p_month
ACKNIT IND,45.01,9.76,10.21,11.09,9.99,6.75,  ,148.08,148.77,138.48,123.93,89.36,  ,3.19,3.03,3.01,2.46,1.53,TRUE,530043,bse,2018-01-10,52_week_high
ADANIENT,21820.23,6.98,7.76,7.57,9.34,7.51,  ,"37,313.70","34,008.38","64,397.92","54,859.83","46,368.85",  ,925.24,999.83,"1,948.05","2,220.77","1,612.98",FALSE,INE423A01024,nse,2018-01-10,52_week_high
ADANI ENTER,21820.23,6.98,7.76,7.57,9.34,7.51,  ,"37,313.70","34,008.38","64,397.92","54,859.83","46,368.85",  ,925.24,999.83,"1,948.05","2,220.77","1,612.98",FALSE,512599,bse,2018-01-10,52_week_high
A.K.CAPITAL,420.16,12.01,9.87,10.72,10.11,14.47,  ,335.19,241.58,251.12,241.87,193.33,  ,57.43,41.55,41.14,35.19,45.97,FALSE,530499,bse,2018-01-10,52_week_high
ALFA TRANSFO,26.08,-21.55,-3.62,-6.43,0.39,-21.57,  ,25.46,26.88,25.96,25.92,21.02,  ,-3.04,-0.55,-1.00,0.07,-3.56,FALSE,517546,bse,2018-01-10,52_week_high
ALKEM,28070.28,19.96,19.21,13.05,16.53,NA,  ,"5,852.50","4,876.85","3,743.35","3,130.75",NA,  ,904.67,673.12,391.59,439.00,NA,FALSE,INE540L01014,nse,2018-01-10,52_week_high
