symbol,isin,exchange,filter,date
ABAN,INE421A01028,nse,vol200p_month,2018-01-10
ACKNIT IND,530043,bse,vol200p_month,2018-01-10
AMMLTD,538653,bse,vol200p_month,2018-01-10
ANISHA IMPEX,537785,bse,vol200p_month,2018-01-10
ASIAN HTL E,533227,bse,vol200p_month,2018-01-10
ASM TECHNOLO,526433,bse,vol200p_month,2018-01-10
BABA ARTS,532380,bse,vol200p_month,2018-01-10
BASML,INE186H01014,nse,vol200p_month,2018-01-10
BSLIMITED,533276,bse,vol200p_month,2018-01-10
DEEPAK SPINN,514030,bse,vol200p_month,2018-01-10
ECORECO,530643,bse,vol200p_month,2018-01-10
EDL,INE180G01019,nse,vol200p_month,2018-01-10
ELECTROSTEEL,533264,bse,vol200p_month,2018-01-10
EMPEE DIST,532920,bse,vol200p_month,2018-01-10
FMGOETZE,INE529A01010,nse,vol200p_month,2018-01-10
GARNET INTL,512493,bse,vol200p_month,2018-01-10
GOODLUCK,INE127I01024,nse,vol200p_month,2018-01-10
GTNIND,INE537A01013,nse,vol200p_month,2018-01-10
HIL,509675,bse,vol200p_month,2018-01-10
HNGSNGBEES,INF732E01227,nse,vol200p_month,2018-01-10
HTMEDIA,INE501G01024,nse,vol200p_month,2018-01-10
LYKA LABS,500259,bse,vol200p_month,2018-01-10
MANGLMCEM,INE347A01017,nse,vol200p_month,2018-01-10
NAVIGANT,539521,bse,vol200p_month,2018-01-10
ORIENTPPR,INE592A01026,nse,vol200p_month,2018-01-10
PIONEER EMB,514300,bse,vol200p_month,2018-01-10
POCHIRAJU,INE332G01032,nse,vol200p_month,2018-01-10
PSL LTD,526801,bse,vol200p_month,2018-01-10
SAKTHI FIN.,511066,bse,vol200p_month,2018-01-10
SEL MANUF,532886,bse,vol200p_month,2018-01-10
SMARTLINK,532419,bse,vol200p_month,2018-01-10
SSPDL LTD,530821,bse,vol200p_month,2018-01-10
STAMPEDE CAP,531723,bse,vol200p_month,2018-01-10
SUNIL HEALTH,537253,bse,vol200p_month,2018-01-10
SUPREMEX,534733,bse,vol200p_month,2018-01-10
SUTLEJ TEXT,532782,bse,vol200p_month,2018-01-10
TATA YODOGAW,504961,bse,vol200p_month,2018-01-10
THEMIS MEDIC,530199,bse,vol200p_month,2018-01-10
TIDE WATE(PS,590005,bse,vol200p_month,2018-01-10
VIKRAM THERM,530477,bse,vol200p_month,2018-01-10
WELSPUN (I),514162,bse,vol200p_month,2018-01-10
WELSPUNIND,INE192B01031,nse,vol200p_month,2018-01-10
ZODIAC CLOTH,521163,bse,vol200p_month,2018-01-10
7NR,540615,bse,vol200p_quarter,2018-01-10
AARTIDRUGS,INE767A01016,nse,vol200p_quarter,2018-01-10
AMMLTD,538653,bse,vol200p_quarter,2018-01-10
ANISHA IMPEX,537785,bse,vol200p_quarter,2018-01-10
ASTRON,540824,bse,vol200p_quarter,2018-01-10
BIL ENERGY,533321,bse,vol200p_quarter,2018-01-10
INFINITE,INE486J01014,nse,vol200p_quarter,2018-01-10
LIME CHEM.,507759,bse,vol200p_quarter,2018-01-10
MOSERBAER,INE739A01015,nse,vol200p_quarter,2018-01-10
MOSER BEAR,517140,bse,vol200p_quarter,2018-01-10
NIPPOBATRY,504058,bse,vol200p_quarter,2018-01-10
PENPEBS,INE455O01019,nse,vol200p_quarter,2018-01-10
SCAPDVR,570005,bse,vol200p_quarter,2018-01-10
SUDITI IND.,521113,bse,vol200p_quarter,2018-01-10
SUPREMEX,534733,bse,vol200p_quarter,2018-01-10
ADANIENT,INE423A01024,nse,52_week_high,2018-01-10
ALKEM,INE540L01014,nse,52_week_high,2018-01-10
ANANTRAJ,INE242C01024,nse,52_week_high,2018-01-10
ASHIMASYN,INE440A01010,nse,52_week_high,2018-01-10
ASIANHOTNR,INE363A01022,nse,52_week_high,2018-01-10
BASML,INE186H01014,nse,52_week_high,2018-01-10
BHARATGEAR,INE561C01019,nse,52_week_high,2018-01-10
BHARATRAS,INE838B01013,nse,52_week_high,2018-01-10
BHARATWIRE,INE316L01019,nse,52_week_high,2018-01-10
BIGBLOC,INE412U01017,nse,52_week_high,2018-01-10
CANTABIL,INE068L01016,nse,52_week_high,2018-01-10
CONCOR,INE111A01017,nse,52_week_high,2018-01-10
CPSEETF,INF457M01133,nse,52_week_high,2018-01-10
DABUR,INE016A01026,nse,52_week_high,2018-01-10
DOLPHINOFF,INE920A01011,nse,52_week_high,2018-01-10
EDL,INE180G01019,nse,52_week_high,2018-01-10
ELGIEQUIP,INE285A01027,nse,52_week_high,2018-01-10
EMAMILTD,INE548C01032,nse,52_week_high,2018-01-10
GODREJAGRO,INE850D01014,nse,52_week_high,2018-01-10
GREENPLY,INE461C01038,nse,52_week_high,2018-01-10
HEXAWARE,INE093A01033,nse,52_week_high,2018-01-10
HFCL,INE548A01028,nse,52_week_high,2018-01-10
HIL,INE557A01011,nse,52_week_high,2018-01-10
HTMEDIA,INE501G01024,nse,52_week_high,2018-01-10
IEX,INE022Q01012,nse,52_week_high,2018-01-10
IFGLEXPOR,INE133Y01011,nse,52_week_high,2018-01-10
IGPL,INE204A01010,nse,52_week_high,2018-01-10
IMPAL,INE547E01014,nse,52_week_high,2018-01-10
INFY,INE009A01021,nse,52_week_high,2018-01-10
JSLHISAR,INE455T01018,nse,52_week_high,2018-01-10
JUBLFOOD,INE797F01012,nse,52_week_high,2018-01-10
KESORAMIND,INE087A01019,nse,52_week_high,2018-01-10
KPIT,INE836A01035,nse,52_week_high,2018-01-10
MAHLOG,INE766P01016,nse,52_week_high,2018-01-10
MANGLMCEM,INE347A01017,nse,52_week_high,2018-01-10
MONTECARLO,INE950M01013,nse,52_week_high,2018-01-10
MORARJEE,INE161G01027,nse,52_week_high,2018-01-10
NATHBIOGEN,INE448G01010,nse,52_week_high,2018-01-10
NELCO,INE045B01015,nse,52_week_high,2018-01-10
OBEROIRLTY,INE093I01010,nse,52_week_high,2018-01-10
OIL,INE274J01014,nse,52_week_high,2018-01-10
ORIENTPPR,INE592A01026,nse,52_week_high,2018-01-10
PDSMFL,INE111Q01013,nse,52_week_high,2018-01-10
SADBHIN,INE764L01010,nse,52_week_high,2018-01-10
SDBL,INE480C01012,nse,52_week_high,2018-01-10
SHREYAS,INE757B01015,nse,52_week_high,2018-01-10
SOMICONVEY,INE323J01019,nse,52_week_high,2018-01-10
SRIPIPES,INE943C01027,nse,52_week_high,2018-01-10
SSWL,INE802C01017,nse,52_week_high,2018-01-10
STRTECH,INE089C01029,nse,52_week_high,2018-01-10
TATAINVEST,INE672A01018,nse,52_week_high,2018-01-10
TATAMETALI,INE056C01010,nse,52_week_high,2018-01-10
TATASPONGE,INE674A01014,nse,52_week_high,2018-01-10
TCS,INE467B01029,nse,52_week_high,2018-01-10
TECHM,INE669C01036,nse,52_week_high,2018-01-10
TIMKEN,INE325A01013,nse,52_week_high,2018-01-10
TINPLATE,INE422C01014,nse,52_week_high,2018-01-10
TORNTPOWER,INE813H01021,nse,52_week_high,2018-01-10
UTINIFTETF,INF789FB1X41,nse,52_week_high,2018-01-10
WABCOINDIA,INE342J01019,nse,52_week_high,2018-01-10
ZODIACLOTH,INE206B01013,nse,52_week_high,2018-01-10
ZYDUSWELL,INE768C01010,nse,52_week_high,2018-01-10
ASIANHOTNR,500023,bse,52_week_high,2018-01-10
DABUR (I),500096,bse,52_week_high,2018-01-10
METROGLOBL,500159,bse,52_week_high,2018-01-10
HIMACHAL FUT,500183,bse,52_week_high,2018-01-10
I.G.PETRO,500199,bse,52_week_high,2018-01-10
INFOSYS LTD,500209,bse,52_week_high,2018-01-10
RMGALLOY,500365,bse,52_week_high,2018-01-10
UTLINDS,500426,bse,52_week_high,2018-01-10
CEAT LIMITED,500878,bse,52_week_high,2018-01-10
TATA INVEST.,501301,bse,52_week_high,2018-01-10
SHA ENG PLA,501423,bse,52_week_high,2018-01-10
RAJA BAHADUR,503127,bse,52_week_high,2018-01-10
NELCO LTD.,504112,bse,52_week_high,2018-01-10
TATA YODOGAW,504961,bse,52_week_high,2018-01-10
TINPLATE,504966,bse,52_week_high,2018-01-10
ANTIF BEARNG,505665,bse,52_week_high,2018-01-10
BHARAT GEARS,505688,bse,52_week_high,2018-01-10
MYS PETRO,506734,bse,52_week_high,2018-01-10
GUJ.PETRO,506858,bse,52_week_high,2018-01-10
SOM DISTILL.,507514,bse,52_week_high,2018-01-10
NATI. OXYGEN,507813,bse,52_week_high,2018-01-10
GRAVISS HOSP,509546,bse,52_week_high,2018-01-10
HIL,509675,bse,52_week_high,2018-01-10
SUPREM IND,509930,bse,52_week_high,2018-01-10
FIRST CUSTO.,511122,bse,52_week_high,2018-01-10
BHARAT BHUSH,511501,bse,52_week_high,2018-01-10
GARNET INTL,512493,bse,52_week_high,2018-01-10
SUPER SAL IN,512527,bse,52_week_high,2018-01-10
ADANI ENTER,512599,bse,52_week_high,2018-01-10
TATA SPONGE,513010,bse,52_week_high,2018-01-10
ST.STR.WHEEL,513262,bse,52_week_high,2018-01-10
TATA METALIK,513434,bse,52_week_high,2018-01-10
SRIPIPES,513605,bse,52_week_high,2018-01-10
ASHIMA LTD.,514286,bse,52_week_high,2018-01-10
ANANTRAJ,515055,bse,52_week_high,2018-01-10
DYNAVISION,517238,bse,52_week_high,2018-01-10
SYMPHONY,517385,bse,52_week_high,2018-01-10
ALFA TRANSFO,517546,bse,52_week_high,2018-01-10
SURAJ PRODUC,518075,bse,52_week_high,2018-01-10
PRIME INDS.,519299,bse,52_week_high,2018-01-10
SHREY SH LOG,520151,bse,52_week_high,2018-01-10
ZODIAC CLOTH,521163,bse,52_week_high,2018-01-10
AUSTIN ENGG.,522005,bse,52_week_high,2018-01-10
ELGI EQUIP,522074,bse,52_week_high,2018-01-10
TIMKEN (I),522113,bse,52_week_high,2018-01-10
DOLPHIN OFF.,522261,bse,52_week_high,2018-01-10
SIMPLX INFRA,523838,bse,52_week_high,2018-01-10
ASM TECHNOLO,526433,bse,52_week_high,2018-01-10
ALPINE HSG.,526519,bse,52_week_high,2018-01-10
GOPALA POLY.,526717,bse,52_week_high,2018-01-10
GREENPLY IND,526797,bse,52_week_high,2018-01-10
SH.PACETRON.,527005,bse,52_week_high,2018-01-10
ACKNIT IND,530043,bse,52_week_high,2018-01-10
SAMRAT PHARM,530125,bse,52_week_high,2018-01-10
MOHIT PAPER,530169,bse,52_week_high,2018-01-10
KJMC FIN.,530235,bse,52_week_high,2018-01-10
RAJ.TUBE MFG,530253,bse,52_week_high,2018-01-10
ASIAN OILFIE,530355,bse,52_week_high,2018-01-10
A.K.CAPITAL,530499,bse,52_week_high,2018-01-10
ECORECO,530643,bse,52_week_high,2018-01-10
GOODLUCK,530655,bse,52_week_high,2018-01-10
ASIT C FIN,530723,bse,52_week_high,2018-01-10
CEEJAY FINAN,530789,bse,52_week_high,2018-01-10
EMAMI LTD.,531162,bse,52_week_high,2018-01-10
NALIN LEASE,531212,bse,52_week_high,2018-01-10
ZYDUS WELL,531335,bse,52_week_high,2018-01-10
CONTAIN.CORP,531344,bse,52_week_high,2018-01-10
AQUAPIV,531364,bse,52_week_high,2018-01-10
GANGAPAPERS,531813,bse,52_week_high,2018-01-10
ASIAN STAR,531847,bse,52_week_high,2018-01-10
KJMCCORP,532304,bse,52_week_high,2018-01-10
STER TECH,532374,bse,52_week_high,2018-01-10
KPIT,532400,bse,52_week_high,2018-01-10
SMARTLINK,532419,bse,52_week_high,2018-01-10
TCS LTD.,532540,bse,52_week_high,2018-01-10
MORARJETEX,532621,bse,52_week_high,2018-01-10
MONNETPRO,532723,bse,52_week_high,2018-01-10
TECH MAH,532755,bse,52_week_high,2018-01-10
TORNT POWER,532779,bse,52_week_high,2018-01-10
ASAHI SONG,532853,bse,52_week_high,2018-01-10
HARYA CAPFIN,532855,bse,52_week_high,2018-01-10
EMPEE DIST,532920,bse,52_week_high,2018-01-10
KIRI DYES,532967,bse,52_week_high,2018-01-10
SOMI CONVEY,533001,bse,52_week_high,2018-01-10
ISGEC,533033,bse,52_week_high,2018-01-10
OIL INDIA,533106,bse,52_week_high,2018-01-10
JUBL FOOD,533155,bse,52_week_high,2018-01-10
PRADIPOVERS,533178,bse,52_week_high,2018-01-10
CANTABIL,533267,bse,52_week_high,2018-01-10
OBEROI REAL,533273,bse,52_week_high,2018-01-10
RCL RETAIL,534708,bse,52_week_high,2018-01-10
SUPREMEX,534733,bse,52_week_high,2018-01-10
LAKHOTIA POL,535387,bse,52_week_high,2018-01-10
NATH BIOGEN,537291,bse,52_week_high,2018-01-10
ANISHA IMPEX,537785,bse,52_week_high,2018-01-10
CPSE ETF,538057,bse,52_week_high,2018-01-10
MONTECARLO,538836,bse,52_week_high,2018-01-10
BEEKAY,539018,bse,52_week_high,2018-01-10
VRLLOG,539118,bse,52_week_high,2018-01-10
SADBHIN,539346,bse,52_week_high,2018-01-10
ALKEM,539523,bse,52_week_high,2018-01-10
JSLHISAR,539597,bse,52_week_high,2018-01-10
BHARATWIRE,539799,bse,52_week_high,2018-01-10
GNA,540124,bse,52_week_high,2018-01-10
RMC,540358,bse,52_week_high,2018-01-10
AXISAEGPG,540552,bse,52_week_high,2018-01-10
MEHAI,540730,bse,52_week_high,2018-01-10
SGRL,540737,bse,52_week_high,2018-01-10
GODREJAGRO,540743,bse,52_week_high,2018-01-10
IEX,540750,bse,52_week_high,2018-01-10
MAHLOG,540768,bse,52_week_high,2018-01-10
IFGLEXPOR,540774,bse,52_week_high,2018-01-10
BHARAT RA(PS,590021,bse,52_week_high,2018-01-10
