symbol,year,month,month_val,volume_ratio
AARTIDRUGS,2018,1,404205326.3,2.5383394722011237
ADORWELD,2018,1,940757323.8,3.5236262978456345
AFL,2018,1,14374794.7,4.151988789152441
AKASH,2018,1,20800950,7.320411754355094
ALBERTDAVD,2018,1,146956411.05,2.345495815920955
AMBIKCO,2018,1,253478369.14999998,3.8220154416840635
ARENTERP,2018,1,111027.5,23.440584391593035
AROGRANITE,2018,1,501941349.6,4.031745768694434
CENTUM,2018,1,281832202.8,2.6716093502195193
CGCL,2018,1,408910283.45,3.051810848526039
CONSOFINVT,2018,1,44938943.85,2.2967750379150558
DIAPOWER,2018,1,258355452.05,3.7261198041106725
DPWIRES,2018,1,22636960,2.158466443925733
ESABINDIA,2018,1,441479290.15000004,4.8348363153502065
GALLANTT,2018,1,89441601.2,127328.06776283009
GALLISPAT,2018,1,207600828.65,27616.224952942197
GREENPOWER,2018,1,423875827.65,2.9095480816716837
GRPLTD,2018,1,123996209.94999999,10.866078988661013
GSS,2018,1,232996443.3,2.962677649170951
GUJNRECOKE,2018,1,127024050.2,2.310193987562114
HNGSNGBEES,2018,1,2917875.2,2.528746438284231
IITL,2018,1,6027114.25,2.435861018313674
JETKNIT,2018,1,41842200,2.6752469550206195
LICNETFGSC,2018,1,216004.75,3.1426163597227283
MADHAV,2018,1,149349322.75,3.6183865844628498
MUKANDENGG,2018,1,85301702.35,2.1670593885914604
NAGAFERT,2018,1,769442328.85,2.2433612137873435
NAVKARCORP,2018,1,2895939304.1,9.592196070152436
NIPPOBATRY,2018,1,79164765.05,2.7573066898012457
NITESHEST,2018,1,287816877.05,2.000909784591824
NOCIL,2018,1,5683484628.849999,2.912996483759306
OCCL,2018,1,342706443.15,2.0658002376104223
ORBTEXP,2018,1,189682014.75,3.372457623692317
PANSARI,2018,1,1330200,2.5482758620689654
PEARLPOLY,2018,1,25738688.8,2.5531921976681313
PENPEBS,2018,1,190638541.35,3.2881507143138644
PHILIPCARB,2018,1,12925262253.85,4.21888778734116
POWERMECH,2018,1,649417062.6999999,3.317282216326657
QNIFTY,2018,1,1850595.46,5.354078466113223
RIIL,2018,1,13695000634.8,2.6933830717368177
RNAVAL,2018,1,19685311961.1,4.335343033488488
ROLTA,2018,1,4672380619.2,3.745596097622158
RPOWER,2018,1,26753972738.850002,3.7123671042458106
SETF10GILT,2018,1,104474.66,14.466888407619322
SHARIABEES,2018,1,1255265,2.1509125251935632
SHIVATEX,2018,1,5619538,2.069971907582522
SJVN,2018,1,1264267959.9,2.252998355209821
STERLINBIO,2018,1,79797223,2.5920962934266765
SUDARSCHEM,2018,1,1030261734.5,2.499306862647277
SURANACORP,2018,1,718.75,2.875
TASTYBITE,2018,1,542651610,2.0249916325907282
THEMISMED,2018,1,154756869.3,4.175701784038842
UVSL,2018,1,53598284.45,2.5087722286089265
WENDT,2018,1,290055979.15,2.228210839607755
XCHANGING,2018,1,88750561.75,2.011160427360796
